MQ_NetStat_Limit_False ACTIVE  *IF *VALUE K22_UNIVERSALEVENT_LOG.Value1Attr *EQ 'NO'
SGDAlert_Info ACTIVE  *IF *VALUE K22_UNIVERSALEVENT_LOG.Param2Attr *EQ ' Consulta da imagem com sucesso...' *AND *SCAN K22_UNIVERSALEVENT_LOG.SevAttr *EQ 'INFO'
SGDAlert_Critical ACTIVE  *IF *SCAN K22_UNIVERSALEVENT_LOG.SevAttr *EQ 'ERROR' *UNTIL ( *SIT SGDAlert_Info )
MDW_AP_FMC_01 ACTIVE  *IF *VALUE K16_EVENT_LOG.Event_ID *EQ 10100 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Stack Trace' *AND *VALUE K16_EVENT_LOG.Event_Source *EQ 'Pmc'
MDW_PmcLogging_Error ACTIVE  *IF ( ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10301 *AND *SCAN K16_EVENT_LOG.Message *EQ '(401) Unauthorized' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10107 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Unable to connect to the remote server.' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10201 *AND *SCAN K16_EVENT_LOG.Message *EQ '401: Unauthorized' ) )
MDW_IE_FMC_01 ACTIVE  *IF ( ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10101 *AND *VALUE K16_EVENT_LOG.Event_Source *EQ 'Pmc' *AND *SCAN K16_EVENT_LOG.Message *EQ 'System.OutOfMemoryException' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10101 *AND *VALUE K16_EVENT_LOG.Event_Source *EQ 'Pmc' *AND *SCAN K16_EVENT_LOG.Message *EQ 'Thread was being aborted' ) )
MDW_TO_FMC_01 ACTIVE  *IF *VALUE K16_EVENT_LOG.Event_ID *EQ 10501 *AND *VALUE K16_EVENT_LOG.Event_Source *EQ 'Pmc'
MDW_IE_FMC_03 ACTIVE  *IF *VALUE K16_EVENT_LOG.Event_ID *EQ 10101 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Timeout expired' *AND *VALUE K16_EVENT_LOG.Event_Source *EQ 'Pmc'
MDW_IE_FMC_04 ACTIVE  *IF ( ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10101 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Service Unavailable' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10200 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Service Unavailable' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10301 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Service Unavailable' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10201 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Service Unavailable' ) )
MDW_IE_FMC_09 ACTIVE  *IF ( ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10201 *AND *SCAN K16_EVENT_LOG.Message *EQ '401: Unauthorized' ) *OR ( *VALUE K16_EVENT_LOG.Event_ID *EQ 10301 *AND *SCAN K16_EVENT_LOG.Message *EQ '(401) Unauthorized' ) )
MDW_IE_FMC_10 ACTIVE  *IF *VALUE K16_EVENT_LOG.Event_ID *EQ 10107 *AND *SCAN K16_EVENT_LOG.Message *EQ 'Unable to connect to the remote server.'
MSMSQ_TLCAP_Full ACTIVE  *IF *VALUE K12_MSMQ_QUEUE.Messages_in_Queue *GT 1000
Pmc_Feiserver_Timeout ACTIVE  *IF *VALUE K13_PMC_PROCESSORS_FEISERVER.Avg_timeouts *GT 0
Pmc_DB_Connection_Failure ACTIVE  *IF *VALUE K13_PMC_MESSAGE_LOGGING.Database_Connection_Failures_Total *GT 0
Pmc_Kanalo_Timeout ACTIVE  *IF *VALUE K13_PMC_PROCESSORS_KANALO.Avg_timeouts *GT 0
MDW_BD_FMC_01 ACTIVE  *IF *VALUE K13_PMC_MESSAGE_LOGGING.Database_Connection_Failures_Total *GT 0
MDW_TO_KAN_01 ACTIVE  *IF *VALUE K13_PMC_PROCESSORS_KANALO.Avg_timeouts *GT 0
MDW_TO_FEI_01 ACTIVE  *IF *VALUE K13_PMC_PROCESSORS_FEISERVER.Avg_timeouts *GT 0
fjjjf ACTIVE  *IF *VALUE K14_ASP_NET_APPS_V1_1_4322.Requests_Sec *GT 30
NT_AMS_Alert_Critical ACTIVE  *IF ( ( *VALUE KCA_Alerts_Table.Alert_Text *EQ 5 ) *OR ( *VALUE KCA_Alerts_Table.Alert_Text *EQ 8 ) *OR ( *VALUE KCA_Alerts_Table.Alert_Text *EQ 7 ) *OR ( *VALUE KCA_Alerts_Table.Alert_Text *EQ 6 ) *OR ( *VALUE KCA_Alerts_Table.Alert_Text *EQ 9 ) )
TSM_DB_FULL ACTIVE  *IF *VALUE V2TSM_MONTSM_DB00.PCT_UTILIZED *GT 85
Cheques_Garantias_Critical ACTIVE  *IF *VALUE V3CHEQUES_MONITORCHEQUES_GARANTIAS00.QTY *GT 150 *UNTIL ( *TTL 0:08:15:00 )
Cheques_Desd_Warning ACTIVE  *IF *VALUE V2CHEQUES_DESCOBRECHEQUES_DESDOBRE00.QTY *GT 10 *AND *VALUE V2CHEQUES_DESCOBRECHEQUES_DESDOBRE00.QTY *LT 20 *UNTIL ( *TTL 0:08:00:00 )
